Annee;Mois;cours
2008;4;909,9
2008;3;962,0
2008;2;924,3
2008;1;889,8
2007;12;808,5
2007;11;806,7
2007;10;756,3
2007;9;714,7
2007;8;665,3
2007;7;666,5
2007;6;655,1
2007;5;668,4
2007;4;679,9
2007;3;655,0
2007;2;666,5
2007;1;631,7
2006;12;627,9
2006;11;629,3
2006;10;586,1
2006;9;599,5
2006;8;630,3
2006;7;633,7
2006;6;595,7
2006;5;674,0
2006;4;611,6
2006;3;559,2
2006;2;555,3
2006;1;550,5
2005;12;509,4
2005;11;477,9
2005;10;470,2
2005;9;457,4
2005;8;437,8
2005;7;424,7
2005;6;431,8
2005;5;422,7
2005;4;429,8
2005;3;434,6
2005;2;424,3
2005;1;424,4
2004;12;442,6
2004;11;440,0
2004;10;421,1
2004;9;406,3
2004;8;401,9
2004;7;398,6
2004;6;392,0
2004;5;384,4
2004;4;404,7
2004;3;407,7
2004;2;404,3
2004;1;414,7
2003;12;409,1
2003;11;390,6
2003;10;378,9
2003;9;379,3
2003;8;360,6
2003;7;351,3
2003;6;356,5
2003;5;356,7
2003;4;329,2
2003;3;340,1
2003;2;358,2
2003;1;357,9
2002;12;335,5
2002;11;319,1
2002;10;316,3
2002;9;319,6
2002;8;310,2
2002;7;313,3
2002;6;321,2
2002;5;315,1
2002;4;303,5
2002;3;295,0
2002;2;296,4
2002;1;281,9
2001;12;276,4
2001;11;276,1
2001;10;283,3
2001;9;283,3
2001;8;273,0
2001;7;267,9
2001;6;270,8
2001;5;272,7
2001;4;261,1
2001;3;262,8
2001;2;261,7
2001;1;266,3
2000;12;271,8
2000;11;266,6
2000;10;269,9
2000;9;274,3
2000;8;274,6
2000;7;282,3
2000;6;286,1
2000;5;275,6
2000;4;279,9
2000;3;286,9
2000;2;300,5
