Annee;Mois;cours
2016;7;1 337,2
2016;6;1 276,7
2016;5;1 259,6
2016;4;1 242,5
2016;3;1 244,9
2016;2;1 201,4
2016;1;1 097,6
2015;12;1 069,9
2015;11;1 084,0
2015;10;1 159,9
2015;9;1 123,8
2015;8;1 118,7
2015;7;1 128,1
2015;6;1 180,8
2015;5;1 198,2
2015;4;1 199,8
2015;3;1 177,8
2015;2;1 224,9
2015;1;1 252,9
2014;12;1 200,2
2014;11;1 176,2
2014;10;1 222,9
2014;9;1 235,1
2014;8;1 295,1
2014;7;1 310,6
2014;6;1 282,2
2014;5;1 287,5
2014;4;1 298,2
2014;3;1 336,4
2014;2;1 301,0
2014;1;1 244,1
2013;12;1 225,0
2013;11;1 275,1
2013;10;1 316,8
2013;9;1 346,0
2013;8;1 352,7
2013;7;1 285,8
2013;6;1 342,1
2013;5;1 416,6
2013;4;1 484,6
2013;3;1 591,5
2013;2;1 627,5
2013;1;1 670,4
2012;12;1 684,4
2012;11;1 721,6
2012;10;1 744,4
2012;9;1 745,6
2012;8;1 629,9
2012;7;1 593,8
2012;6;1 600,7
2012;5;1 587,4
2012;4;1 649,5
2012;3;1 675,7
2012;2;1 742,9
2012;1;1 654,6
2011;12;1 640,3
2011;11;1 740,5
2011;10;1 669,9
2011;9;1 767,3
2011;8;1 758,5
2011;7;1 572,6
2011;6;1 528,0
2011;5;1 512,2
2011;4;1 482,9
2011;3;1 422,6
2011;2;1 374,5
2011;1;1 361,6
2010;12;1 393,3
2010;11;1 370,3
2010;10;1 343,2
2010;9;1 272,0
2010;8;1 217,4
2010;7;1 192,5
2010;6;1 234,7
2010;5;1 204,4
2010;4;1 150,3
2010;3;1 114,4
2010;2;1 097,8
2010;1;1 116,4
2009;12;1 127,9
2009;11;1 129,2
2009;10;1 044,3
2009;9;998,5
2009;8;949,7
2009;7;935,5
2009;6;946,4
2009;5;931,5
2009;4;892,2
2009;3;925,7
2009;2;942,3
2009;1;862,1
2008;12;823,8
2008;11;758,0
2008;10;802,1
2008;9;829,7
2008;8;836,0
2008;7;940,5
2008;6;890,1
2008;5;890,8
2008;4;909,9
2008;3;962,0
2008;2;924,3
2008;1;889,8
2007;12;808,5
2007;11;806,7
2007;10;756,3
2007;9;714,7
2007;8;665,3
2007;7;666,5
2007;6;655,1
2007;5;668,4
2007;4;679,9
2007;3;655,0
2007;2;666,5
2007;1;631,7
2006;12;627,9
2006;11;629,3
2006;10;586,1
2006;9;599,5
2006;8;630,3
2006;7;633,7
2006;6;595,7
2006;5;674,0
2006;4;611,6
2006;3;559,2
2006;2;555,3
2006;1;550,5
2005;12;509,4
2005;11;477,9
2005;10;470,2
2005;9;457,4
2005;8;437,8
2005;7;424,7
2005;6;431,8
2005;5;422,7
2005;4;429,8
2005;3;434,6
2005;2;424,3
2005;1;424,4
2004;12;442,6
2004;11;440,0
2004;10;421,1
2004;9;406,3
2004;8;401,9
2004;7;398,6
2004;6;392,0
2004;5;384,4
2004;4;404,7
2004;3;407,7
2004;2;404,3
2004;1;414,7
2003;12;409,1
2003;11;390,6
2003;10;378,9
2003;9;379,3
2003;8;360,6
2003;7;351,3
2003;6;356,5
2003;5;356,7
2003;4;329,2
2003;3;340,1
2003;2;358,2
2003;1;357,9
2002;12;335,5
2002;11;319,1
2002;10;316,3
2002;9;319,6
2002;8;310,2
2002;7;313,3
2002;6;321,2
2002;5;315,1
2002;4;303,5
2002;3;295,0
2002;2;296,4
2002;1;281,9
2001;12;276,4
2001;11;276,1
2001;10;283,3
2001;9;283,3
2001;8;273,0
2001;7;267,9
2001;6;270,8
2001;5;272,7
2001;4;261,1
2001;3;262,8
2001;2;261,7
2001;1;266,3
2000;12;271,8
2000;11;266,6
2000;10;269,9
2000;9;274,3
2000;8;274,6
2000;7;282,3
2000;6;286,1
2000;5;275,6
2000;4;279,9
2000;3;286,9
2000;2;300,5
2000;1;285,7
1999;12;284,4
1999;11;294,5
1999;10;309,8
1999;9;265,2
1999;8;257,5
1999;7;257,1
1999;6;262,1
1999;5;277,2
1999;4;282,7
1999;3;286,6
1999;2;288,9
1999;1;288,0
1998;12;290,4
1998;11;294,9
1998;10;296,2
1998;9;289,6
1998;8;284,0
1998;7;293,2
1998;6;292,3
1998;5;299,6
1998;4;308,7
1998;3;296,9
1998;2;298,4
1998;1;290,4
1997;12;289,6
1997;11;306,7
1997;10;323,9
1997;9;324,1
1997;8;324,2
1997;7;324,5
1997;6;340,7
1997;5;344,8
1997;4;344,7
1997;3;352,9
1997;2;349,3
1997;1;356,1
1996;12;369,4
1996;11;378,5
1996;10;381,2
1996;9;383,5
1996;8;388,0
1996;7;384,4
1996;6;384,8
1996;5;392,9
1996;4;393,2
1996;3;397,3
1996;2;404,6
1996;1;399,5
1995;12;387,6
1995;11;385,8
1995;10;383,5
1995;9;384,4
1995;8;383,7
1995;7;386,7
1995;6;388,5
1995;5;386,5
1995;4;391,5
1995;3;383,4
1995;2;377,3
1995;1;379,2
1994;12;379,4
1994;11;384,6
1994;10;389,7
1994;9;392,3
1994;8;380,5
1994;7;385,9
1994;6;385,8
1994;5;382,7
1994;4;378,3
1994;3;384,9
1994;2;382,0
1994;1;387,3
1993;12;384,7
1993;11;374,2
1993;10;364,7
1993;9;355,4
1993;8;377,4
1993;7;393,0
1993;6;372,4
1993;5;368,2
1993;4;342,7
1993;3;330,9
1993;2;330,2
1993;1;329,2
1992;12;334,6
1992;11;334,9
1992;10;344,5
1992;9;345,9
1992;8;342,3
1992;7;353,6
1992;6;341,2
1992;5;337,6
1992;4;338,8
1992;3;345,2
1992;2;354,1
1992;1;355,0
1991;12;360,9
1991;11;361,4
1991;10;359,6
1991;9;349,5
1991;8;356,1
1991;7;368,7
1991;6;367,1
1991;5;358,6
1991;4;359,3
1991;3;364,3
1991;2;365,0
1991;1;385,3
1990;12;379,9
1990;11;383,5
1990;10;380,4
1990;9;391,3
1990;8;394,5
1990;7;364,2
1990;6;353,6
1990;5;370,7
1990;4;375,1
1990;3;393,3
1990;2;416,5
1990;1;411,2
