text,url,views
2010 Report to Congress on White House Staff,https://opendata.socrata.com/Government/2010-Report-to-Congress-on-White-House-Staff/vedg-c5sb,"519,455"
The White House - Nominations & Appointments,https://opendata.socrata.com/dataset/The-White-House-Nominations-Appointments/n5m4-mism,"506,630"
2011 Report to Congress on White House Staff,https://opendata.socrata.com/Government/2011-Report-to-Congress-on-White-House-Staff/73t8-rw4g,"385,303"
Milk  RadNet Laboratory Analysis,https://opendata.socrata.com/Government/Milk-RadNet-Laboratory-Analysis/pkfj-5jsd,"222,424"
Precipitation RadNet Laboratory Analysis,https://opendata.socrata.com/Government/Precipitation-RadNet-Laboratory-Analysis/e2xy-undq,"212,854"
2012 Annual Report to Congress on White House Staff,https://opendata.socrata.com/Government/2012-Annual-Report-to-Congress-on-White-House-Staf/jv7a-cjdv,"208,987"
Sorted RadNet Laboratory Analysis,https://opendata.socrata.com/Government/Sorted-RadNet-Laboratory-Analysis/w9fb-tgv6,"199,042"
Le Sarkomètre,https://opendata.socrata.com/Government/Le-Sarkomètre/mm2p-747g,"185,697"
2013 Salaries: Pennsylvania State System of Higher Education,https://opendata.socrata.com/Education/2013-Salaries-Pennsylvania-State-System-of-Higher-/26jq-uk2i,"164,489"
Drinking Water RadNet Laboratory Analysis,https://opendata.socrata.com/Government/Drinking-Water-RadNet-Laboratory-Analysis/4ig7-9eqd,"158,056"
